JrD                    JD 24...          B           Ic               
5:12:2011 20:34:24    55901.35723       ---        13.740     
5:12:2011 20:54:34    55901.37123       14.609       ---      
5:12:2011 20:55:32    55901.37190       ---        13.795     
5:12:2011 21:5:21    55901.37872       14.628       ---      
5:12:2011 21:6:18    55901.37938       ---        13.826     
5:12:2011 21:58:33    55901.41566       14.809       ---      
5:12:2011 21:59:30    55901.41633       ---        13.886     
6:12:2011 18:28:47    55902.26999       14.397       ---      
6:12:2011 18:29:18    55902.27035       14.421       ---      
6:12:2011 18:30:15    55902.27101       ---        13.698     
6:12:2011 18:47:17    55902.28284       14.509       ---      
6:12:2011 18:47:55    55902.28328       ---        13.720     
6:12:2011 19:35:36    55902.31639       14.624       ---      
6:12:2011 19:36:13    55902.31682       ---        13.795     
6:12:2011 19:37:15    55902.31754       ---        13.791     
6:12:2011 20:5:25    55902.33710       14.748       ---      
6:12:2011 20:6:3    55902.33754       ---        13.845     
6:12:2011 20:36:53    55902.35895       14.853       ---      
6:12:2011 20:37:30    55902.35938       ---        13.860     
7:12:2011 18:28:54    55903.27008       14.708       ---      
7:12:2011 18:29:31    55903.27050       ---        13.798     
7:12:2011 19:10:12    55903.29875       14.829       ---      
7:12:2011 19:10:50    55903.29919       ---        13.910     
7:12:2011 19:42:24    55903.32112       14.930       ---      
7:12:2011 19:43:1    55903.32155       ---        13.919     
7:12:2011 20:4:15    55903.33629       14.942       ---      
7:12:2011 20:4:53    55903.33673       ---        13.979     
7:12:2011 20:26:1    55903.35141       14.955       ---      
7:12:2011 20:26:38    55903.35184       ---        13.977     
7:12:2011 20:51:50    55903.36933       14.979       ---      
7:12:2011 20:52:27    55903.36976       ---        13.992     
8:12:2011 19:32:28    55904.31422       14.968       ---      
8:12:2011 19:33:25    55904.31488       ---        13.996     
8:12:2011 20:12:46    55904.34221       14.979       ---      
8:12:2011 20:42:18    55904.36271       14.935       ---      
8:12:2011 20:43:16    55904.36338       ---        14.023     
9:12:2011 18:24:51    55905.26726       15.007       ---      
9:12:2011 18:25:45    55905.26789       ---        14.007     
9:12:2011 18:49:17    55905.28423       14.982       ---      
9:12:2011 18:50:14    55905.28489       ---        14.014     
9:12:2011 19:36:14    55905.31683       14.952       ---      
9:12:2011 19:37:22    55905.31762       ---        13.985     
9:12:2011 20:4:27    55905.33643       15.003       ---      
9:12:2011 20:5:15    55905.33699       ---        14.056     
9:12:2011 20:19:30    55905.34688       15.053       ---      
9:12:2011 20:20:28    55905.34755       ---        14.139     
9:12:2011 20:40:37    55905.36154       15.114       ---      
9:12:2011 20:41:34    55905.36220       ---        14.148     
10:12:2011 18:24:6    55906.26674       14.927       ---      
10:12:2011 18:25:4    55906.26741       ---        14.032     
10:12:2011 18:47:41    55906.28312       15.058       ---      
10:12:2011 18:48:33    55906.28372       ---        14.112     
10:12:2011 18:54:8    55906.28760       15.056       ---      
